openDate,fundingRate,indicativeFundingRate
1660780800,7.171e-05,0.0001
1660867200,-6.746e-05,0.0001
1660953600,-4.567e-05,0.0001
1661040000,-3.234e-05,0.0001
1661126400,4.021e-05,0.0001
1661212800,8.46e-06,0.0001
1661299200,-3.538e-05,0.0001
1661385600,4.481e-05,0.0001
1661472000,2.599e-05,0.0001
1661558400,-4.396e-05,0.0001
1661644800,-2.443e-05,0.0001
1661731200,-6.193e-05,0.0001
1661817600,-5.903e-05,0.0001
1661904000,4.95e-05,0.0001
1661990400,3.63e-05,0.0001
1662076800,4.443e-05,0.0001
1662163200,1.115e-05,0.0001
1662249600,2.119e-05,0.0001
1662336000,4.712e-05,0.0001
1662422400,3.473e-05,0.0001
1662508800,-3.48e-05,0.0001
1662595200,5.667e-05,0.0001
1662681600,0.0001,0.0001
1662768000,0.0001,0.0001
1662854400,6.712e-05,0.0001
1662940800,0.0001,0.0001
1663027200,0.0001,0.0001
1663113600,1.004e-05,0.0001
1663200000,8.13e-06,0.0001
1663286400,2.919e-05,0.0001
1663372800,1.467e-05,0.0001
1663459200,3.564e-05,0.0001
1663545600,6e-06,0.0001
1663632000,1.721e-05,0.0001
1663718400,2.732e-05,0.0001
1663804800,7.743e-05,0.0001
1663891200,-5.008e-05,0.0001
1663977600,5.345e-05,0.0001
1664064000,2.593e-05,0.0001
1664150400,4.497e-05,0.0001
1664236800,8.538e-05,0.0001
1664323200,5.332e-05,0.0001
1664409600,6.685e-05,0.0001
1664496000,0.0001,0.0001
1664582400,7.005e-05,0.0001
1664668800,5.384e-05,0.0001
1664755200,0.0001,0.0001
1664841600,0.0001,0.0001
1664928000,0.0001,0.0001
1665014400,0.0001,0.0001
1665100800,7.513e-05,0.0001
1665187200,4.149e-05,0.0001
1665273600,1.951e-05,0.0001
1665360000,0.0001,0.0001
1665446400,0.0001,0.0001
1665532800,0.0001,0.0001
1665619200,3.936e-05,0.0001
1665705600,8.395e-05,0.0001
1665792000,4.563e-05,0.0001
1665878400,3.394e-05,0.0001
1665964800,6.458e-05,0.0001
1666051200,0.0001,0.0001
1666137600,0.0001,0.0001
1666224000,2.095e-05,0.0001
1666310400,-8.9e-06,0.0001
1666396800,-3.19e-06,0.0001
1666483200,5.174e-05,0.0001
