timestamp,long_account,short_account,long_short_ratio
1743362100000,0.6591,0.3409,1.9334
1743362400000,0.6586,0.3414,1.9291
1743362700000,0.6583,0.3417,1.9265
1743363000000,0.6582,0.3418,1.9257
1743363300000,0.6581,0.3419,1.9248
1743363600000,0.6582,0.3418,1.9257
1743363900000,0.6583,0.3417,1.9265
1743364200000,0.6571,0.3429,1.9163
1743364500000,0.6569,0.3431,1.9146
1743364800000,0.6566,0.3434,1.9121
1743365100000,0.6561,0.3439,1.9078
1743365400000,0.6562,0.3438,1.9087
1743365700000,0.6567,0.3433,1.9129
1743366000000,0.6576,0.3424,1.9206
1743366300000,0.6577,0.3423,1.9214
1743366600000,0.6577,0.3423,1.9214
1743366900000,0.6576,0.3424,1.9206
1743367200000,0.6581,0.3419,1.9248
1743367500000,0.6583,0.3417,1.9265
1743367800000,0.6582,0.3418,1.9257
1743368100000,0.6585,0.3415,1.9283
1743368400000,0.6582,0.3418,1.9257
1743368700000,0.659,0.341,1.9326
1743369000000,0.659,0.341,1.9326
1743369300000,0.6592,0.3408,1.9343
1743369600000,0.6594,0.3406,1.936
1743369900000,0.6596,0.3404,1.9377
1743370200000,0.6596,0.3404,1.9377
1743370500000,0.6596,0.3404,1.9377
1743370800000,0.6592,0.3408,1.9343
1743371100000,0.6592,0.3408,1.9343
1743371400000,0.6593,0.3407,1.9351
1743371700000,0.6593,0.3407,1.9351
1743372000000,0.6599,0.3401,1.9403
1743372300000,0.6599,0.3401,1.9403
1743372600000,0.6593,0.3407,1.9351
1743372900000,0.6601,0.3399,1.942
1743373200000,0.6608,0.3392,1.9481
1743373500000,0.6619,0.3381,1.9577
1743373800000,0.6625,0.3375,1.963
1743374100000,0.6628,0.3372,1.9656
1743374400000,0.6637,0.3363,1.9735
1743374700000,0.6639,0.3361,1.9753
1743375000000,0.664,0.336,1.9762
1743375300000,0.6636,0.3364,1.9727
1743375600000,0.6632,0.3368,1.9691
1743375900000,0.6632,0.3368,1.9691
1743376200000,0.6631,0.3369,1.9682
1743376500000,0.6637,0.3363,1.9735
1743376800000,0.6637,0.3363,1.9735
1743377100000,0.6642,0.3358,1.978
1743377400000,0.6642,0.3358,1.978
1743377700000,0.6645,0.3355,1.9806
1743378000000,0.6652,0.3348,1.9869
1743378300000,0.6662,0.3338,1.9958
1743378600000,0.6662,0.3338,1.9958
1743378900000,0.6661,0.3339,1.9949
1743379200000,0.6665,0.3335,1.9985
1743379500000,0.6661,0.3339,1.9949
1743379800000,0.6656,0.3344,1.9904
1743380100000,0.6659,0.3341,1.9931
1743380400000,0.6662,0.3338,1.9958
1743380700000,0.6658,0.3342,1.9922
1743381000000,0.6661,0.3339,1.9949
1743381300000,0.6686,0.3314,2.0175
1743381600000,0.6706,0.3294,2.0358
1743381900000,0.6693,0.3307,2.0239
1743382200000,0.6716,0.3284,2.0451
1743382500000,0.6716,0.3284,2.0451
1743382800000,0.6725,0.3275,2.0534
1743383100000,0.6728,0.3272,2.0562
1743383400000,0.6723,0.3277,2.0516
1743383700000,0.6716,0.3284,2.0451
1743384000000,0.6706,0.3294,2.0358
1743384300000,0.67,0.33,2.0303
