timestamp,buy_vol,sell_vol,buy_sell_ratio
1743361800000,69.138,206.904,0.3342
1743362100000,75.717,233.6,0.3241
1743362400000,61.683,116.441,0.5297
1743362700000,50.008,87.829,0.5694
1743363000000,52.781,48.461,1.0891
1743363300000,40.639,86.484,0.4699
1743363600000,49.046,41.339,1.1864
1743363900000,67.707,123.484,0.5483
1743364200000,55.11,46.157,1.194
1743364500000,47.637,45.256,1.0526
1743364800000,109.808,206.704,0.5312
1743365100000,189.374,149.26,1.2688
1743365400000,102.022,69.937,1.4588
1743365700000,80.255,53.428,1.5021
1743366000000,52.516,56.348,0.932
1743366300000,35.141,51.067,0.6881
1743366600000,45.954,49.921,0.9205
1743366900000,74.874,73.075,1.0246
1743367200000,44.865,76.868,0.5837
1743367500000,52.89,37.612,1.4062
1743367800000,39.635,72.097,0.5497
1743368100000,69.733,38.291,1.8211
1743368400000,180.23,89.28,2.0187
1743368700000,84.594,41.447,2.041
1743369000000,90.999,53.842,1.6901
1743369300000,51.317,41.262,1.2437
1743369600000,22.833,37.647,0.6065
1743369900000,22.325,19.382,1.1518
1743370200000,9.214,24.021,0.3836
1743370500000,43.783,63.309,0.6916
1743370800000,206.513,371.264,0.5562
1743371100000,225.158,232.065,0.9702
1743371400000,220.789,280.662,0.7867
1743371700000,278.466,203.15,1.3707
1743372000000,761.997,1323.198,0.5759
1743372300000,1199.003,1602.159,0.7484
1743372600000,656.662,367.265,1.788
1743372900000,342.843,288.026,1.1903
1743373200000,386.721,294.47,1.3133
1743373500000,410.873,326.365,1.2589
1743373800000,442.332,409.12,1.0812
1743374100000,1687.265,971.329,1.7371
1743374400000,301.864,624.662,0.4832
1743374700000,158.037,210.102,0.7522
1743375000000,153.434,235.109,0.6526
1743375300000,143.53,124.504,1.1528
1743375600000,176.044,257.479,0.6837
1743375900000,301.784,304.781,0.9902
1743376200000,204.527,144.159,1.4188
1743376500000,126.105,176.549,0.7143
1743376800000,201.798,304.963,0.6617
1743377100000,308.663,297.644,1.037
1743377400000,409.702,401.661,1.02
1743377700000,273.819,195.019,1.4041
1743378000000,241.958,181.432,1.3336
1743378300000,116.816,165.011,0.7079
1743378600000,149.766,128.341,1.1669
1743378900000,130.158,123.735,1.0519
1743379200000,399.582,277.035,1.4424
1743379500000,281.397,269.575,1.0439
1743379800000,171.164,151.385,1.1307
1743380100000,246.49,337.671,0.73
1743380400000,199.938,253.055,0.7901
1743380700000,482.804,302.633,1.5953
1743381000000,416.111,706.389,0.5891
1743381300000,541.213,930.704,0.5815
1743381600000,875.682,1578.415,0.5548
1743381900000,909.491,883.02,1.03
1743382200000,581.621,316.342,1.8386
1743382500000,399.07,280.699,1.4217
1743382800000,738.071,671.325,1.0994
1743383100000,633.991,618.458,1.0251
1743383400000,272.422,277.504,0.9817
1743383700000,240.766,325.529,0.7396
1743384000000,317.943,335.403,0.9479
1743384300000,990.876,563.983,1.7569
1743384600000,274.141,307.041,0.8928
1743384900000,322.757,267.741,1.2055
1743385200000,162.729,210.407,0.7734
1743385500000,286.545,305.137,0.9391
1743385800000,202.161,205.149,0.9854
1743386100000,176.183,101.336,1.7386
1743386400000,295.984,291.737,1.0146
1743386700000,312.973,325.71,0.9609
1743387000000,182.856,150.511,1.2149
1743387300000,212.413,142.057,1.4953
1743387600000,109.093,131.717,0.8282
1743387900000,146.355,104.186,1.4047
1743388200000,170.864,129.031,1.3242
1743388500000,119.718,97.363,1.2296
1743388800000,361.495,296.358,1.2198
1743389100000,360.9,241.289,1.4957
1743389400000,400.553,328.156,1.2206
1743389700000,187.423,328.069,0.5713
1743390000000,181.598,125.609,1.4457
1743390300000,127.1,180.612,0.7037
1743390600000,196.134,273.589,0.7169
1743390900000,369.606,431.178,0.8572
1743391200000,409.18,352.553,1.1606
1743391500000,151.767,109.9,1.381
1743391800000,233.852,203.967,1.1465
1743392100000,190.931,180.76,1.0563
1743392400000,74.059,124.461,0.595
1743392700000,157.826,271.36,0.5816
1743393000000,239.993,498.761,0.4812
1743393300000,201.962,213.448,0.9462
1743393600000,279.698,192.794,1.4508
1743393900000,167.866,135.447,1.2393
1743394200000,79.863,108.564,0.7356
1743394500000,111.18,415.749,0.2674
1743394800000,252.833,404.614,0.6249
1743395100000,181.079,122.66,1.4763
1743395400000,219.434,137.138,1.6001
1743395700000,373.091,138.521,2.6934
1743396000000,212.831,105.27,2.0218
1743396300000,212.501,135.126,1.5726
1743396600000,92.913,88.088,1.0548
1743396900000,209.518,180.258,1.1623
1743397200000,632.429,466.154,1.3567
1743397500000,407.377,363.686,1.1201
1743397800000,235.499,216.881,1.0858
1743398100000,191.94,221.371,0.8671
1743398400000,345.632,201.101,1.7187
1743398700000,235.833,288.875,0.8164
1743399000000,129.193,185.7,0.6957
1743399300000,182.749,182.444,1.0017
1743399600000,118.641,78.665,1.5082
1743399900000,141.973,110.544,1.2843
1743400200000,100.882,128.75,0.7835
1743400500000,93.369,68.644,1.3602
1743400800000,187.836,167.873,1.1189
1743401100000,105.064,155.38,0.6762
1743401400000,97.367,168.355,0.5783
1743401700000,92.47,187.478,0.4932
1743402000000,1196.509,531.614,2.2507
1743402300000,169.587,467.497,0.3628
1743402600000,151.09,121.648,1.242
1743402900000,126.445,169.352,0.7466
1743403200000,159.098,68.699,2.3159
1743403500000,136.929,106.918,1.2807
1743403800000,75.571,86.575,0.8729
1743404100000,64.832,61.118,1.0608
1743404400000,324.681,178.269,1.8213
1743404700000,191.424,261.637,0.7316
1743405000000,134.331,218.761,0.6141
1743405300000,162.623,240.124,0.6772
1743405600000,320.16,257.611,1.2428
1743405900000,152.313,169.187,0.9003
1743406200000,119.197,236.079,0.5049
1743406500000,219.307,288.113,0.7612
1743406800000,191.207,195.451,0.9783
1743407100000,234.999,219.773,1.0693
1743407400000,166.448,216.415,0.7691
1743407700000,214.596,163.844,1.3098
1743408000000,410.741,299.209,1.3728
1743408300000,421.797,346.121,1.2186
1743408600000,223.05,353.451,0.6311
1743408900000,139.043,219.386,0.6338
1743409200000,152.084,138.721,1.0963
1743409500000,262.324,109.791,2.3893
1743409800000,114.336,189.289,0.604
1743410100000,96.234,162.867,0.5909
1743410400000,48.365,190.519,0.2539
1743410700000,101.838,104.835,0.9714
1743411000000,104.379,235.525,0.4432
1743411300000,186.737,260.528,0.7168
1743411600000,246.658,253.869,0.9716
1743411900000,402.935,655.653,0.6146
1743412200000,565.007,1037.165,0.5448
1743412500000,388.32,329.715,1.1777
1743412800000,267.889,187.168,1.4313
1743413100000,409.059,567.005,0.7214
1743413400000,386.701,536.144,0.7213
1743413700000,382.833,338.395,1.1313
1743414000000,250.889,199.716,1.2562
1743414300000,162.618,220.473,0.7376
1743414600000,168.797,206.273,0.8183
1743414900000,323.194,306.571,1.0542
1743415200000,467.99,195.844,2.3896
1743415500000,241.059,212.009,1.137
1743415800000,349.562,495.479,0.7055
1743416100000,313.671,186.487,1.682
1743416400000,431.588,257.078,1.6788
1743416700000,232.465,170.51,1.3634
1743417000000,210.914,258.362,0.8164
1743417300000,246.781,141.737,1.7411
1743417600000,359.623,266.623,1.3488
1743417900000,1033.528,830.435,1.2446
1743418200000,727.777,609.277,1.1945
1743418500000,331.629,327.22,1.0135
1743418800000,315.417,333.671,0.9453
1743419100000,238.756,439.663,0.543
1743419400000,205.46,197.932,1.038
1743419700000,303.082,369.252,0.8208
1743420000000,125.563,238.682,0.5261
1743420300000,177.957,312.84,0.5688
1743420600000,199.62,314.987,0.6337
1743420900000,177.714,123.093,1.4437
1743421200000,195.039,99.697,1.9563
1743421500000,271.596,101.589,2.6735
1743421800000,419.394,478.328,0.8768
1743422100000,426.628,183.648,2.3231
1743422400000,466.325,513.76,0.9077
1743422700000,164.129,208.047,0.7889
1743423000000,178.954,276.018,0.6483
1743423300000,244.903,265.13,0.9237
1743423600000,253.74,168.087,1.5096
1743423900000,207.64,139.857,1.4847
1743424200000,232.26,192.055,1.2093
1743424500000,151.153,329.416,0.4589
